أفغانستان	Afghanistan
ألبانيا	Albania
الجزائر	Algeria
أندورا	Andorra
أنغولا	Angola
أنتيغوا وبربودا	Antigua and Barbuda
الأرجنتين	Argentina
أرمينيا	Armenia
أستراليا	Australia
النمسا	Austria
أذربيجان	Azerbaijan
جزر البهاما	Bahamas
البحرين	Bahrain
بنغلاديش	Bangladesh
بربادوس	Barbados
بيلاروس	Belarus
بلجيكا	Belgium
بليز	Belize
بنن	Benin
بوتان	Bhutan
بوليفيا (دولة - المتعددة القوميات)	Bolivia (Plurinational State of)
بوليفيا (دولة - المتعددة القوميات)	Bolivia
بوليفيا (دولة - المتعددة القوميات)	Plurinational State of Bolivia
البوسنة والهرسك	Bosnia and Herzegovina
بوتسوانا	Botswana
البرازيل	Brazil
بروني دار السلام	Brunei Darussalam
بلغاريا	Bulgaria
بوركينا فاسو	Burkina Faso
بوروندي	Burundi
كمبوديا	Cambodia
الكاميرون	Cameroon
كندا	Canada
كابو فيردي	Cape Verde
جمهورية أفريقيا الوسطى	Central African Republic
تشاد	Chad
شيلي	Chile
الصين	China
جزر كوك	Cook Islands
كولومبيا	Colombia
جزر القمر	Comoros
الكونغو	Congo
كوستاريكا	Costa Rica
كوت ديفوار	Côte d’Ivoire
كرواتيا	Croatia
كوبا	Cuba
قبرص	Cyprus
الجمهورية التشيكية	Czech Republic
تشيكيا	Czechia
جمهورية كوريا الشعبية الديمقراطية	Democratic People’s Republic of Korea
جمهورية كوريا الشعبية الديمقراطية	Democratic People\'s Republic of Korea
جمهورية الكونغو الديمقراطية	Democratic Republic of the Congo
الدانمرك	Denmark
جيبوتي	Djibouti
دومينيكا	Dominica
الجمهورية الدومينيكية	Dominican Republic
إكوادور	Ecuador
مصر	Egypt
السلفادور	El Salvador
غينيا الاستوائية	Equatorial Guinea
إريتريا	Eritrea
إستونيا	Estonia
إثيوبيا	Federal Democratic Republic of Ethiopia
إثيوبيا	Ethiopia
فيجي	Fiji
فنلندا	Finland
فرنسا	France
غابون	Gabon
غامبيا	Gambia
جورجيا	Georgia
ألمانيا	Germany
غانا	Ghana
اليونان	Greece
غرينادا	Grenada
غواتيمالا	Guatemala
غينيا	Guinea
غينيا - بيساو	Guinea-Bissau
غيانا	Guyana
هايتي	Haiti
الكرسي الرسولي	Holy See
هندوراس	Honduras
هنغاريا	Hungary
آيسلندا	Iceland
الهند	India
إندونيسيا	Indonesia
إيران (جمهورية - الإسلامية)	Iran (Islamic Republic of)
إيران (جمهورية - الإسلامية)	Iran
إيران (جمهورية - الإسلامية)	Islamic Republic of Iran
العراق	Iraq
أيرلندا	Ireland
إسرائيل	Israel
إيطاليا	Italy
جامايكا	Jamaica
اليابان	Japan
الأردن	Jordan
كازاخستان	Kazakhstan
كينيا	Kenya
كيريباس	Kiribati
الكويت	Kuwait
قيرغيزستان	Kyrgyzstan
جمهورية لاو الديمقراطية الشعبية	Lao People’s Democratic Republic
جمهورية لاو الديمقراطية الشعبية	Lao People\'s Democratic Republic
لاتفيا	Latvia
لبنان	Lebanon
ليسوتو	Lesotho
ليبريا	Liberia
ليبيا	Libyan Arab Jamahiriya
ليختنشتاين	Liechtenstein
ليتوانيا	Lithuania
لكسمبرغ	Luxembourg
مدغشقر	Madagascar
ملاوي	Malawi
ماليزيا	Malaysia
ملديف	Maldives
مالي	Mali
مالطة	Malta
جزر مارشال	Marshall Islands
موريتانيا	Mauritania
موريشيوس	Mauritius
المكسيك	Mexico
ميكرونيزيا (ولايات - الموحدة)	Micronesia (Federated States of)
ميكرونيزيا (ولايات - الموحدة)	Micronesia
ميكرونيزيا (ولايات - الموحدة)	Federated States of Micronesia
موناكو	Monaco
منغوليا	Mongolia
الجبل الأسود	Montenegro
المغرب	Morocco
موزامبيق	Mozambique
ميانمار	Myanmar
ناميبيا	Namibia
ناورو	Nauru
نيبال	Federal Democratic Republic of Nepal
نيبال	Nepal
هولندا	Netherlands
نيوزيلندا	New Zealand
نيكاراغوا	Nicaragua
النيجر	Niger
نيجيريا	Nigeria
النرويج	Norway
عمان	Oman
باكستان	Pakistan
بالاو	Palau
بنما	Panama
بابوا غينيا الجديدة	Papua New Guinea
باراغواي	Paraguay
بيرو	Peru
الفلبين	Philippines
بولندا	Poland
البرتغال	Portugal
قطر	Qatar
جمهورية كوريا	Republic of Korea
جمهورية مولدوفا	Republic of Moldova
رومانيا	Romania
الاتحاد الروسي	Russian Federation
رواندا	Rwanda
سانت كيتس ونيفس	Saint Kitts and Nevis
سانت لوسيا	Saint Lucia
سانت فنسنت وجزر غرينادين	Saint Vincent and the Grenadines
ساموا	Samoa
سان مارينو	San Marino
سان تومي وبرينسيبي	Sao Tome and Principe
المملكة العربية السعودية	Saudi Arabia
السنغال	Senegal
صربيا	Serbia
سيشيل	Seychelles
سيراليون	Sierra Leone
سنغافورة	Singapore
سلوفاكيا	Slovakia
سلوفينيا	Slovenia
جزر سليمان	Solomon Islands
الصومال	Somalia
جنوب أفريقيا	South Africa
إسبانيا	Spain
سري لانكا	Sri Lanka
السودان	Sudan
سورينام	Suriname
سوازيلند	Swaziland
السويد	Sweden
سويسرا	Switzerland
الجمهورية العربية السورية	Syrian Arab Republic
طاجيكستان	Tajikistan
تايلند	Thailand
جمهورية مقدونيا اليوغوسلافية سابقا	Former Yugoslav Republic of Macedonia
تيمور - ليشتي	Timor-Leste
توغو	Togo
تونغا	Tonga
ترينيداد وتوباغو	Trinidad and Tobago
تونس	Tunisia
تركيا	Turkey
تركيا	Türkiye
تركيا	Turkiye
تركمانستان	Turkmenistan
توفالو	Tuvalu
أوغندا	Uganda
أوكرانيا	Ukraine
الإمارات العربية المتحدة	United Arab Emirates
المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية	United Kingdom of Great Britain and Northern Ireland
المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية	United Kingdom
جمهورية تنزانيا المتحدة	United Republic of Tanzania
الولايات المتحدة الأمريكية	United States of America
الولايات المتحدة الأمريكية	United States
أوروغواي	Uruguay
أوزبكستان	Uzbekistan
فانواتو	Vanuatu
فنزويلا (جمهورية – البوليفارية)	Venezuela (Bolivarian Republic of)
فنزويلا (جمهورية – البوليفارية)	Venezuela
فنزويلا (جمهورية – البوليفارية)	Bolivarian Republic of Venezuela
فييت نام	Viet Nam
اليمن	Yemen
زامبيا	Zambia
زمبابوي	Zimbabwe
الجمهورية العربية السورية	Syria
كوت ديفوار	Cote d’Ivoire
ليبيا	Libya
ليبيا (دولة –)	Libya (State of)
جمهورية مولدوفا	Moldova
دولة فلسطين	State of Palestine
جنوب السودان	South Sudan
كابو فيردي	Cabo Verde
كوت ديفوار	côte d\'ivoire
كوت ديفوار	cote d\'ivoire
كوت ديفوار	Cote d'Ivoire
كابو فيردي	Cape Verde
الصحراء الغربية	Western Sahara
المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية	United Kingdom of Great Britain and Northern Ireland
أروبا	Aruba
أنغيلا	Anguilla
أيرلندا	Ireland
برمودا	Bermuda
بورتوريكو	Puerto Rico
بولينيزيا الفرنسية	French Polynesia
بونير وسان يوستاتيوس وسابا	Bonaire, Sint Eustatius and Saba
توكيلاو	Tokelau
تيمور - ليشتي	Timor-Leste
جبل طارق	Gibraltar
جزر تركس وكايكوس	Turks and Caicos Islands
جزر تشانل	Channel Islands
جزر فارو	Faroe Islands
جزر فرجن البريطانية	British Virgin Islands
جزر فرجن التابعة للولايات المتحدة	United States Virgin Islands
جزر فوكلاند (مالفيناس)	Falkland Islands (Malvinas)
جزر كايمان	Cayman Islands
جزر ماريانا الشمالية	Northern Mariana Islands
جزر واليس وفوتونا	Wallis and Futuna Islands
جزيرة مان	Isle of Man
جزيرة مايوت	Mayotte
جمهورية مقدونيا اليوغوسلافية سابقا	The former Yugoslav Republic of Macedonia
ريونيون	Réunion
ساموا الأمريكية	American Samoa
سان بيار وميكلون	Saint Pierre and Miquelon
سانت مارتن	Sint Maarten (Dutch part)
سانت هيلانة	Saint Helena
غرينلند	Greenland
غواديلوب	Guadeloupe
غوام	Guam
غيانا الفرنسية	French Guiana
فنزويلا (جمهورية – البوليفارية)	Venezuela (Bolivarian Republic of)
كاليدونيا الجديدة	New Caledonia
كوراساو	Curaçao
مارتينيك	Martinique
منطقة ماكاو الإدارية الخاصة التابعة للصين	China, Macao Special Administrative Region
منطقة هونغ كونغ الصينية الإدارية الخاصة	China, Hong Kong Special Administrative Region
مونتسيرات	Montserrat
نيوي	Niue
جمهورية كوريا الشعبية الديمقراطية	Democratic People's Republic of Korea
جمهورية لاو الديمقراطية الشعبية	Lao People's Democratic Republic
كوت ديفوار	Côte d'Ivoire
إسواتيني	Eswatini
مقدونيا الشمالية	North Macedonia